model,strategy,threshold_type,minimum_score,minimum_gap,accepted_suggestions,abstained,coverage_percentage,accepted_accuracy,incorrect_accepted_suggestions
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,GAP_ONLY,,0.01,130,16,89.04109589041096,0.6923076923076923,40
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,GAP_ONLY,,0.02,116,30,79.45205479452055,0.7327586206896551,31
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,GAP_ONLY,,0.03,106,40,72.6027397260274,0.7264150943396226,29
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,GAP_ONLY,,0.04,100,46,68.4931506849315,0.76,24
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,GAP_ONLY,,0.05,92,54,63.013698630136986,0.7717391304347826,21
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,GAP_ONLY,,0.06,86,60,58.9041095890411,0.813953488372093,16
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,GAP_ONLY,,0.08,77,69,52.73972602739726,0.8571428571428571,11
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,GAP_ONLY,,0.1,65,81,44.52054794520548,0.9230769230769231,5
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,GAP_ONLY,,0.12,54,92,36.986301369863014,0.9629629629629629,2
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,GAP_ONLY,,0.15,42,104,28.767123287671232,0.9761904761904762,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,GAP_ONLY,,0.2,26,120,17.80821917808219,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.2,0.01,101,45,69.17808219178082,0.7821782178217822,22
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.2,0.02,97,49,66.43835616438356,0.7835051546391752,21
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.2,0.03,91,55,62.32876712328767,0.7912087912087912,19
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.2,0.04,88,58,60.273972602739725,0.8181818181818182,16
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.2,0.05,83,63,56.84931506849315,0.8192771084337349,15
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.2,0.06,80,66,54.794520547945204,0.8375,13
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.2,0.08,73,73,50.0,0.863013698630137,10
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.2,0.1,64,82,43.83561643835616,0.921875,5
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.2,0.12,54,92,36.986301369863014,0.9629629629629629,2
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.2,0.15,42,104,28.767123287671232,0.9761904761904762,1
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.2,0.2,26,120,17.80821917808219,1.0,0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.25,0.01,90,56,61.64383561643836,0.7888888888888889,19
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.25,0.02,88,58,60.273972602739725,0.7954545454545454,18
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.25,0.03,83,63,56.84931506849315,0.8072289156626506,16
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.25,0.04,80,66,54.794520547945204,0.8375,13
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.25,0.05,76,70,52.054794520547944,0.8289473684210527,13
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,DESCRIPTION_ONLY,SCORE_AND_GAP,0.25,0.06,75,71,51.36986301369863,0.84,12
